id,geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,countrycode,cc2,admin1code,admin2code,admin3code,admin4code,population,elevation,dem,timezone,modificationdate
11516482,78754,Al Mukallā,Al Mukalla,"Al Mukalla,Al Mukallā,Al'-Mukalla,Al-Mukalla,MKX,Mukalla,RIY,almkla,Аль-Мукалла,المكلا",14.54248,49.12424,P,PPLA,YE,,04,1929,,,258132,,39,Asia/Aden,2017-02-10
10157226,5110629,Buffalo,Buffalo,"BUF,Bafalas,Bafalo,Baffalo,Bufalo,Bufalum,Buffalo,Buffalo i New York,Bupalo,Búfalo,De-o-tro-weh,De-ose-lole,Gorad Bufala,Ne-o-thro-ra,New Amsterdam,Tick-e-ack-gou-ga,Tsistekeriia'kon:ke,Tsistekeriia'kón:ke,bafelo,baffalo,baffaro,baphalo,baphelo,beopeollo,bfylw  nyw yark,bupalo,bwfalw,bwfalw  nywywrk,bwfylw,pahpalo,shui niu cheng,Μπάφαλο,Бафало,Баффало,Буфало,Буффало,Бъфало,Горад Буфала,Բուֆֆալո,באפאלא,באפלו,بفیلو، نیو یارک,بوفالو,بوفالو، نیویورک,بوفیلو,बफ़ेलो,बफेलो,பஃபலோ,బఫెలో,ಬಫಲೋ,บัฟฟาโล,ბუფალო,バッファロー,水牛城,버펄로",42.88645,-78.87837,P,PPLA2,US,,NY,029,11000,,258071,183,191,America/New_York,2017-05-23
3115227,2643339,Luton,Luton,"Luton,Lutonas,Lutun,lu dun,luteon,lwtn,lwtwn,ruton,Лутон,Лутън,لوتن,لوتون,ルートン,卢顿,루턴",51.87967,-0.41748,P,PPLA2,GB,,ENG,I1,00KC039,,258018,,117,Europe/London,2017-06-12
3400194,1631766,Pekalongan,Pekalongan,"Kota Pekalongan,Pekalongan",-6.8886,109.6753,P,PPL,ID,,07,,,,257945,,10,Asia/Jakarta,2012-01-17
11385371,3644768,Cumaná,Cumana,"CUM,Cumana,Cumaná,Gorad Kumana,Kumana,ku ma na,kumana,kwmana,Горад Кумана,Кумана,کومانا,กูมานา,კუმანა,クマナ,庫馬納,쿠마나",10.45397,-64.18256,P,PPLA,VE,,19,1914,,,257783,,4,America/Caracas,2015-04-24
3811371,1257022,Satna,Satna,"Satna,TNI",24.57726,80.82719,P,PPL,IN,,35,429,,,257778,,324,Asia/Kolkata,2015-08-07
795650,3662574,Rio Branco,Rio Branco,"Penapolis,Penápolis,RBR,Rio Bran'ko,Rio Branco,Rio Brankas,Rio Branko,Riu Branco,Riu-Branku,Riubranku,Río Branco,hiubeulangku,li yue bu lan ke,ri xu brang ku,ri'o branko,rioburanko,riyo branko,ryw brankw,ryw brnqw,Ρίο Μπράνκο,Рио Бранко,Риу-Бранку,Ріу-Бранку,ריו ברנקו,ريو برانكو,ریو برانکو,रियो ब्रांको,রিও ব্রাঙ্কো,รีอูบรังกู,რიუ-ბრანკუ,リオブランコ,里約布蘭科,히우브랑쿠",-9.97472,-67.81,P,PPLA,BR,,01,1200401,,,257642,,153,America/Rio_Branco,2012-08-03
9522413,4464368,Durham,Durham,"Daram,Darem,Daremas,Duram,Durham,Durhamsville,Gorad Darehm,RDU,daramu,de han,deoleom,dwrham,dyurema,Горад Дарэм,Дарам,Дарем,Дърам,דרהאם,دورهام,ڈرہم، شمالی کیرولائنا,ड्युरॅम,เดอแรม,ダーラム,德罕,더럼",35.99403,-78.89862,P,PPLA2,US,,NC,063,90932,,257636,123,121,America/New_York,2017-05-23
3826254,1271987,Etāwah,Etawah,"Etawah,Etāwah",26.77615,79.02133,P,PPL,IN,,36,161,,,257448,,154,Asia/Kolkata,2015-12-05
781037,3466779,Cascavel,Cascavel,"CAC,Cascavel,Kaskavel,Kaskavelas,Krotalias,Naer-ourouler,Serpentes tintinnabulati,Tłʼiish áníní,Ular derik,bang-ulbaem,ka si ka wei er,kasakabhela,mar zngy,ngu hang krading,Κροταλίας,Каскавел,עכסנים,الأفعى ذات الجرس,مار زنگی,কাসকাভেল,র‌্যাটল সাপ,റാറ്റിൽസ്നേക്,งูหางกระดิ่ง,卡斯卡韋爾,방울뱀",-24.95583,-53.45528,P,PPL,BR,,18,4104808,,,257172,,786,America/Sao_Paulo,2012-08-03
